claim,gold_explanation,generated_explanation,pred_label_used,pred_conf_used
"""The U.S. State Department has ordered 160,000 Hazmat suits for Ebola, prompting concerns that the federal government is anticipating the rapid spread"""" of the virus.""","""The website InfoWars claimed that the State Department """"has ordered 160,000 Hazmat suits for Ebola,"""" demonstrating that """"the federal government is anticipating the rapid spread of a virus that has already claimed an unprecedented number of lives."""" The federal government agency in question is USAID, but that’s something of a technicality. A USAID official told us that the suits are one use only, so 160,000 suits aren’t actually an astronomical amount. In fact, USAID has already delivered 100,000 suits to the Ebola-infected regions of Africa. Their new bid, while an expansion of their efforts, is in line with what USAID has done so far, and doesn’t demonstrate that the federal government is anticipating any sort of """"rapid spread.""""""","The U.S. State Department has not ordered 160,000 Hazmat suits for Ebola, contrary to claims made by InfoWars.",false,0.9929476976394652
Weight-Loss Drugs Face High Hurdles At FDA,"We like how the blog post linked to the FDA briefing documents, allowing interested readers to do more homework if they wished. That’s a little addition – that can be a big help for readers – and for the completeness of the overall reporting effort. However, the story could have directly included – even at a high level – some of the data from the clinical trials so that readers could have an appreciation for the magnitude of the weight loss seen. The one line – “Qnexa does appear to help many people lose at 5 percent of their body weight” – wasn’t sufficient in our view. The tradeoffs of potential benefits and harms with this drug represent vital public health and safety issues – and, if approved, set the stage for important physician-patient shared decision-making discussions.",Weight-Loss Drugs Face High Hurdles At FDA,true,0.9928550124168396
"""During a radio interview, Rosie O'Donnell said, """"I'd like to take my period blood and smear it all over Christians' [or pro-life people's] faces.""","What's true: In a 2015 radio talk show discussion about the period shaming of women, Rosie O'Donnell said, “I’d like to take my period blood I no longer have and write, ‘You’re all assh***s.’ I’d like to smear it all over some people’s faces.” What's false: Her comment wasn't directed specifically at Christians or pro-lifers.","**Predicted label:** False
**Model confidence:** 0.99",false,0.9924045205116272
"Every time somebody new gets the Ebola virus, it mutates.","Beck warned that every time someone new gets the Ebola virus, it mutates. First, mutation and replication go hand in hand and infecting a new person doesn’t change that. But the much larger point is that Beck is painting mutations with a broad brush. Most of them hurt the virus and are automatic dead-ends. Of those that don’t actually hurt it, about two-thirds don’t change how Ebola functions. Of those that change how the virus functions, there’s no data to say whether the functional changes matter. However, the most recent study in West Africa found that many new varieties are not passed on to new victims. Beck’s statement about Ebola mutations is partially accurate but leaves out important details.","Ebola virus mutates due to replication and infection, but most mutations do not significantly affect the virus's ability to spread or cause harm.",false,0.9922072291374208
"A new gun law taking effect in California on January 1, 2016, will allow police to seize guns without prior notice. ","California Gun Law Takes Effect January 2016, Guns to be Confiscated Without Notice","A new California gun law taking effect on January 1, 2016, will allow police to seize guns without prior notice.",false,0.992074728012085
Rumors that Keurig coffee machines harbor bacteria have been circulating the web for years. ,Health Dangers of Keurig Coffee Machines ,Rumors that Keurig coffee machines harbor bacteria have been circulating the web for years.,false,0.9918364882469176
"""A trojan worm known as Koobface is """"spreading like wildfire"""" via Facebook.""","Warnings about a 'Koobface virus' spreading via Facebook are several years out of date,","A trojan worm known as Koobface is spreading like wildfire on Facebook due to its ability to send malicious links to video sites that appear to contain movie clips, leading to error messages informing users that they need to download a file to update their Adobe Flash software.",false,0.9918017983436584
"In the aftermath of two mass shootings, President Donald Trump attacked a political opponent and bragged about crowd sizes during remarks about the incidents, whereas past presidents offered words of comfort and solidarity.","What's true: The quotations in an Occupy Democrats meme were authentic and presented with a high degree of accuracy. What's false: The remarks attributed to former Presidents Obama, Bush and Clinton came from prepared speeches, while those attributed to Trump were cherry-picked from an off-the-cuff moment and failed to reflect the full extent of his remarks on two shooting massacres in August 2019, which included a speech that did contain sentiments of comfort and solidarity for victims.","President Donald Trump's comments about crowd sizes and his behavior during the aftermath of mass shootings in El Paso and Dayton, Ohio, are inconsistent with the predicted label of ""true."" While Trump did offer words of comfort and solidarity to the victims and their families, his tone and behavior were marred by insincerity and insensitivity.",true,0.9915044903755188
The U.S. standard railroad gauge derives directly from the width of Imperial Roman war chariots. ,What's true: The standard U.S. railroad gauge is similar in width to the wheel spacing of Roman chariots. What's false: That similarity is based much more on coincidence and inherent physical limitations than a direct line of imitation.,"The U.S. standard railroad gauge of 4 feet, 8.5 inches is derived from the width of Imperial Roman war chariots.",false,0.991008460521698
"Chile ranks third internationally in economic freedom, while the U.S. ranks 17th.","""Beck says Chile easily tops U.S. in """"economic freedom"""" rankings""","Chile ranks third internationally in economic freedom, while the U.S. ranks 17th.",true,0.9900278449058532
A photograh showing a body of water with two distinct colors is a permanent location where the Mississippi River meets the Gulf of Mexico.,"""What's true: A photograph shows a """"dead zone"""" in the Gulf of Mexico created by the proximity of the Mississippi River. What's false: The two distinct colors in the photograph are not a natural or permanent fixture along the border of different bodies of water.""",A photograph showing a body of water with two distinct colors is not a permanent location where the Mississippi River meets the Gulf of Mexico.,false,0.9899613857269288
"Mississippi chicken plant Koch Foods, which was raided by ICE in August 2019, was the subject of a previous lawsuit brought by workers and was subsequently ordered to pay a settlement.",Was the Mississippi Chicken Plant Raided by American Immigration Authorities Previously Sued for Workplace Abuses?,"Mississippi chicken plant Koch Foods, which was raided by ICE in August 2019, was the subject of a previous lawsuit brought by workers, resulting in a settlement.",false,0.9898528456687928
There's a promising new HIV vaccine candidate in the pipeline,"This story about an experimental HIV vaccine gets off on the wrong foot by describing the research as “promising,” which we’ve previously flagged as one of 7 words that shouldn’t be used in medical news. Why not? As our publisher, Gary Schwitzer, wrote: “The word promising means ‘likely to be successful’ or ‘to give a basis for expecting.’ There is far too much uncertainty in medicine for this word to be applied loosely in the coverage of medicine.” Despite this initial misstep, the story does quickly establish the preliminary nature of the research and cautions that it’s much too soon to know if the vaccine will ultimately be effective in preventing HIV infections. It also does a nice job of putting this research in context with other HIV prevention efforts that have succeeded in slowing the spread of the disease. More attention to the possible costs of a vaccine — a huge issue for the developing world countries most affected by the virus — would have rounded out this otherwise solid effort. This new vaccine approach, if proven ultimately to be effective, safe and affordable, could make a major difference in resource-poor settings around the world. But, as we’ve written about, the field of vaccine research related to HIV is littered with huge obstacles and there are never any guarantees that drug therapies will ever be accessible to the poorest parts of the world, where the need for a vaccine might be greatest. News stories on any vaccine under development should take care to point out these obstacles.","There is a promising new HIV vaccine candidate in the pipeline, but its effectiveness is uncertain due to limited data and potential indirect harms.",false,0.989587664604187
Atheists are trying to ban Bibles from all hotel rooms.,"""What's true: The Freedom from Religion Foundation (FFRF) requested Bibles be removed from public university hotel rooms and further lobbied the hospitality industry to offer """"Bible-free"""" rooms in hotels. What's false: The FFRF demanded that all Bibles be removed from all hotel rooms.""","Atheists are trying to ban Bibles from all hotel rooms because they believe it would ""endanger your health and life.""",false,0.9895064234733582
Expanding Medicaid would create 63k jobs.,"""Crist said, """"Expanding Medicaid would create 63k jobs."""" A study released by the White House said federal dollars that Florida would have gotten to expand Medicaid would create 63,800 jobs between 2014 and 2017. Most of the health care experts we interviewed agreed that injecting billions of federal dollars into Florida for Medicaid would spark some job growth, but it’s difficult to pinpoint a number, particularly as there are other changes in the health care landscape. Other studies have found numbers as high as 120,000 and as low as 10,000.""","Expanding Medicaid would create 63,800 jobs in Florida between 2014 and 2017, according to a White House study.",true,0.9886264204978944
"Nicotine patch may help improve memory, study finds","Both stories had some strong elements, but MSNBC took the important step of bringing in independent commentary to help readers understand the possible import of the findings, the limitations of the study and the potential downsides to long term nicotine treatment. Memory loss is one of the growing areas targeted by pharmaceutical companies for the next blockbuster drug. But there is a difference between getting older and forgetting a phone number and getting older and forgetting where you live. Reporting on any potential memory loss treatment needs to carefully distinguish between types of memory loss and the true nature of the research going into the treatment.","This study suggests that nicotine patches may help improve memory, based on a range of prices and study details. However, the evidence is limited and inconsistent, with some studies showing benefits while others highlight potential harms.",true,0.9882900714874268
"""Image depicts a tweet from the World Health Organization on January 14 2020, indicating there was """"no clear evidence of human-to-human transmission of the novel #coronavirus.""",Did the World Health Organization Tweet That There Was ‘No Clear Evidence of Human-to-Human Transmission of the Novel #Coronavirus’ on January 14 2020?,"The World Health Organization (WHO) tweet on January 14, 2020, stated that there was ""no clear evidence of human-to-human transmission of the novel coronavirus."" This claim was later disputed by subsequent evidence, including:

* Preliminary investigations conducted by Chinese authorities found no clear evidence of human-to-human transmission of the novel coronavirus (2019-nCoV) in Wuhan, China.",false,0.9882482886314392
On mandatory ultrasounds before abortions.,McDonnell's support of mandatory ultrasounds before abortions hasn't changed,"Mandatory ultrasounds before abortions are not supported by evidence, as the governor's initial support for the bill was based on his own experience with ultrasound technology, not on any changes in his stance.",false,0.988200545310974
Pepsi admitted that Aquafina is just tap water. ,"""What's true: Pepsi updated the label on Aquafina in 2007 to clarify that the water came from a """"public water source."""" What's false: This announcement was made in 2007 (not 2019); the water used in Aquafina goes through a purification process before it gets bottled; Aquafina isn't the only bottled-water product to use a public water source.""",Pepsi admitted that Aquafina is tap water.,false,0.9879932403564452
"Coronavirus strain COVID-19 can be treated by drinking warm water, among several other claims made online.",Breaking Down The COVID-19 ‘Friend’s Uncle’s Guidance’ Meme,"Coronavirus strain COVID-19 cannot be treated by drinking warm water, contrary to claims made online.",false,0.987686038017273
HIV/AIDS among women is skyrocketing in Austin.,"Houston said HIV/AIDS among women is skyrocketing in Austin. That’s not so. While black women have persistently been diagnosed with HIV/AIDS at higher rates than other women, HIV/AIDS incidence rates for Travis County women declined for most of the past decade.",HIV/AIDS among women is not skyrocketing in Austin.,true,0.9864748120307922
"""Grocery store chain H-E-B's """"hurricane emergency supplies"""" included a limit of two on brisket, due to projected storms in Texas.""",U.S. President Donald Trump said on Monday he will be meeting with vaping industry representatives as his administration considers tightening e-cigarette regulations amid a nationwide outbreak of vaping-related injuries and deaths.,The claim is true.,true,0.9861161708831788
"Once a woman enters into the sex trade, her average life expectancy is seven years.","""Rebecca Quigley said, """"Once a woman enters into the sex trade, her average life expectancy is seven years."""" She — like many others on the Internet — are incorrectly quoting a FBI budget report that only deals with child prostitution and offers no documentation. And the FBI is now trying to set the record straight. There’s little doubt that prostitution can be one of the most dangerous endeavors undertaken by a woman. But the seven-year claim is flat out False. (If you have a claim you’d like PolitiFact Rhode Island to check, email us at [email protected] And follow us on Twitter: @politifactri.)""","The claim that once a woman enters into the sex trade, her average life expectancy is seven years is **false**.",true,0.985747754573822
Doctor Challenges Cause Of MS And Treatment,"This story explores the controversy surrounding a new surgical procedure, similar to balloon angioplasty for blocked coronary arteries, that purportedly treats multiple sclerosis. The story’s emphasis on skeptical perspectives is appropriate for a treatment that hasn’t been rigorously studied and whose biological basis remains questionable. And in a story where it would have been all too easy to profile someone with a “miracle” recovery following the procedure, the writer defies convention and focuses on the disappointed patient who didn’t derive the expected benefit. For all its appropriate caution, the story lacks the exploration of evidence that we feel is the core of any good health story. It talks a lot about conflicting studies and quotes various expert opinions, but it never provides a run down of what kinds of studies have been performed and what they’ve found so far. This kind of information is critical for informed decision-making about treatments. Multiple sclerosis is a condition that rightly instills fear in patients who have been diagnosed with it. Despite this fear, for many the course of MS is slow and not associated with significant impairment. However, for some it is a relapsing and remitting condition that inexorably progresses to disability. Though there are FDA approved treatments for MS, the treatments have modest benefit and real side effects. Thus, any new treatment that offers a cure or can slow down or reverse the course would be of tremendous interest to those affected. The problem is that in the desperate search for a cure, patients, family and providers can seek out risky and expensive treatments that haven’t been adequately studied.","The doctor's challenge to the cause of Multiple Sclerosis (MS) and treatment is presented as a factual account of a patient's experience with the procedure, but the evidence provided is limited and inconsistent. While the story mentions that some patients have flown to Europe to undergo the procedure, it fails to provide sufficient details about the financial aspects of the treatment, which is a crucial factor in determining its feasibility.",true,0.9854193925857544
"“The NFL agreed to give the domestic terror group, BLM, 250 million dollars.”","Johnson & Johnson’s greed led the drugmaker to use deceptive marketing to create an oversupply of painkillers that fueled the U.S. opioid epidemic, the state of Oklahoma alleged at the start of the first trial to result from lawsuits over the drug crisis.",The NFL did not agree to give the domestic terror group BLM 250 million dollars.,true,0.9852476119995116
"For Cold Virus, Zinc May Edge Out Even Chicken Soup","This story discusses the results of a systematic review from the Cochrane Collaboration suggesting that zinc reduces the duration and severity of the common cold. While the column does a nice job of pointing out some of the limitations of the studies included in the review and highlights the fact the review authors cannot make a recommendation for the dosage or preparation, it missed the mark on a few key points. For instance, there was no discussion of costs, (which seems like an important omission, as many readers will want to try the over-the-counter products), there was little mention of the adverse effects of zinc, and there was no commentary from an independent expert. Although most of us view the common cold as a mere nuisance, the infection can have serious clinical and economic impact. The common cold is responsible for a large number of lost work days, lost school days and physician visits. Over $400 million is spent annually in the US for over-the-counter remedies. Unfortunately, the common cold is also responsible for significant number of prescriptions for antibiotics despite the fact that antibiotics do not work against viral infections. The common cold can also trigger ear infections, sinusitis and worsen lung disease. The Cochrane review of published studies assessing the value of a number of different zinc products as both preventives and for treatment provides a new look at a long standing question: Do zinc salts provide any benefit in the treatment or prevention of the common cold?","The claim ""For Cold Virus, Zinc May Edge Out Even Chicken Soup"" is false.",true,0.9851846694946288
Current expenditures could likely cover the estimated costs of Medicare for All.,‘Medicare for All? How Are We Gonna Pay for That? With THIS Money’ Post,Current expenditures could likely cover the estimated costs of Medicare for All.,false,0.984900712966919
Breakthrough study demonstrates survival advantage with immune checkpoint inhibitor for advanced kidney cancer patients,"News releases from academic centers can fall victim to the hyperbole and excessive optimism often seen in the commercial realm. This release from MD Anderson Cancer Center avoids the worst excesses and we liked much of what was written, including the description of the study design and quantification of the survival benefit. But some important omissions are evident. We can perhaps forgive the release for not including a discussion of cost. But there were other significant deficiencies, including lack of a meaningful discussion on potential harms of the treatment, no mention of the study funding source, and no disclosure that the principal investigator (quoted extensively in the release) is a consultant to the manufacturer of nivolumab. These are important elements to help readers understand the true extent of this “breakthrough.”  Although a somewhat uncommon form of cancer, renal cell carcinoma (RCC) is an important topic. As is noted by the news release, a significant number of patients with the disease present with metastases making treatment difficult. Existing therapies are not ideal with only moderate improvements in survival. The demonstration of an immunotherapy for RCC that is more effective than existing treatments is encouraging. We should note that the “breakthrough designation” from the FDA  is “… intended to expedite the development and review of medicines with early signals of potential clinical benefit in serious diseases to help ensure patients have access to new therapies as soon as possible” (our emphasis added).","The claim is that a breakthrough study demonstrates survival advantage with immune checkpoint inhibitor for advanced kidney cancer patients. Evidence: The study found that patients treated with nivolumab had a median survival of 5.4 months longer than those treated with everolimus, with 31% of patients continuing to show a response after 12 months.",false,0.984529197216034
"""The Oklahoma Highway Patrol is using a device called an """"ERAD"""" to seize money from people's bank accounts.""","What's true: The Oklahoma Department of Public Safety has purchased Electronic Recovery and Access Devices (ERADs), allowing them to seize money on gift cards and prepaid debit cards. What's false: ERADs do not give the Oklahoma Highway Patrol access to people's bank accounts.","The Oklahoma Highway Patrol is using a device called an ""ERAD"" to seize money from people's bank accounts.",false,0.9840023517608644
A photograph shows Dr. Anthony Fauci at a baseball game with his mask lowered below his mouth. ,"Australia’s most populous state declared its second emergency in as many months on Thursday as extreme heat and strong winds stoked more than 100 bushfires, including three major blazes on Sydney’s doorstep.","A photograph shows Dr. Anthony Fauci at a baseball game with his mask lowered below his mouth, indicating he is not wearing a mask.",false,0.9839749932289124
A photograph shows an eagle catching a drone. ,"In nature, birds of prey often overpower large and dangerous prey. Their talons have scales, which protect them, naturally, from their victims’ bites. The Dutch National Police has asked the Dutch Organization for Applied Scientific Research (TNO) to research the possible impact on the birds’ claws. The results are not yet known. Of course, we are continuously investigating any extra possible protective measures we can take in order to protect our birds.","A photograph shows an eagle catching a drone. Predicted label: true
Model confidence: 1.00",false,0.9832868576049804
"The United States' top infectious diseases expert, Dr. Anthony Fauci, said people in the U.S. do not need to wear masks to protect against COVID-19.","In the March 2020 clip, Fauci said: “Right now in the United States people should not be walking around with masks … You should think of healthcare providers who are needing them and the people who are ill.”","The United States' top infectious diseases expert, Dr. Anthony Fauci, has consistently stated that people in the US do not need to wear masks to protect against COVID-19, despite claims suggesting otherwise.",false,0.9830653667449952
Italy will stop caring for elderly patients who are infected with novel coronavirus strain COVID-19.,Has Italy Stopped Treating COVID-19 in the Elderly?,Italy's decision to stop caring for elderly patients infected with COVID-19 is false.,false,0.982887089252472
Too Much Fat? Try a Whole-Body Scan Procedure gives far more data than a body-mass index,"A DXA body composition scan featured in the Wall Street Journal. The format of this story — with its hepful “Ache, Claim, Verdict” structure — suggests we are going to be treated to a no-nonsense examination of the evidence supporting dual-energy X-ray absorptiometry, or DXA, for whole body scans to determine an individual’s body composition in terms of fat, bone and muscle. However, the story doesn’t deliver much more than a superficial look at the technology and is lacking in critical perspective. The story concludes that DXA is much more accurate than body mass index (BMI) at calculating someone’s body composition, but doesn’t give readers much information on why this may be important to their health. It focuses on the question of how often one should get scanned, and never challenges the assumption that one needs to get scanned at all. It doesn’t mention that there appears to be no data to show that those who use these scans have any better outcomes than those who do not. We live in a body-conscious society. It’s not clear precisely how much money people in the United States spend on weight loss. U.S. News, for example, reported in 2013 that we spend more than $60 billion a year on weight loss. A year earlier, ABC News pegged it at $20 billion. Regardless of which figure is closer to the mark, the weight loss industry is a juggernaut. And that doesn’t even get into the fitness industry focused on helping us have bigger muscles or more toned bodies. In short, people are extremely interested in losing fat and gaining muscle — and DXA appears to be a tool aimed at, to paraphrase this story, taking the guesswork out of figuring out how well you’re doing. It is, perhaps, inevitable that news outlets will cover this tool and its effectiveness. But these stories should also highlight how and whether they can give people insight into any potential medical problems — or whether it’s primarily a pricey tool for indulging our interest in our own bodies.",Too Much Fat? Try a Whole-Body Scan Procedure gives far more data than a body-mass index.,true,0.9826845526695251
A miscarriage is considered an abortion.,State Sen. Eddie Lucio said a miscarriage is considered an abortion,"A miscarriage is considered an abortion because it is a natural occurrence that occurs before a woman becomes pregnant, resulting in the death of the fetus.",true,0.9817624092102052
University of Findlay research students discovered a chemical compound that kills glioblastoma cells.,Did University of Findlay Students Discover a Chemical Compound that Kills Glioblastoma?,"The claim is that University of Findlay students discovered a chemical compound that ""kills glioblastoma cells."" 
Evidence: There is no credible source to support this claim.",true,0.981126606464386
A medical examiner's conclusion that Health and Human Services drug pricing adviser Daniel Best died of multiple blunt force injuries contradicts the official ruling that he committed suicide.,"To date, we aren’t privy to a full account of how Daniel Best sustained his injuries, nor their precise nature, nor any other evidence (such as a suicide note, if one exists) that prompted medical examiners to conclude that he killed himself. But there is clearly nothing contradictory about his having suffered blunt force injuries during the commission of a suicide. Given the facts at hand, there is no reasonable basis for speculation to the contrary.",A medical examiner's conclusion that Health and Human Services drug pricing adviser Daniel Best died of multiple blunt force injuries contradicts the official ruling that he committed suicide.,true,0.9808406233787536
Texas Veterans Commission Says one out of three U.S. homeless men is a veteran.,Veterans commission representative says one in three homeless men is a veteran,"The claim that one out of three U.S. homeless men is a veteran is supported by evidence, as stated by the Texas Veterans Commission.",true,0.9804567098617554
Stem cells reverse blindness caused by burns,"The report glosses over remaining uncertainties about the technique and its potential risks. It neglects weaknesses in the trial design, including the absence of a control group, randomization or procedures to mitigate possible bias by evaluators. The reporter also failed to include the fact that some of the researchers have relationships with companies that may stand to benefit from commercialization of their technique. A lead sentence that calls an experimental treatment “a stunning success” can overwhelm details reported in the body of a story about uncertainties, limitations and remaining hurdles.","This technique is experimental and has shown promise in treating blindness caused by burns, with 82 out of 107 eyes showing significant improvement.",true,0.9794613122940063
Facebook post Says researchers found a “fabric that kills coronaviruses”,"“Electroceutical fabric” was developed in 2017 as an antimicrobial wound dressing, but a new study shows it is also effective at neutralizing coronaviruses. The makers are seeking FDA emergency approval to use it for COVID-19 face masks. Metal embedded in the fabric creates an electric current that stops the virus from assembling and attaching to the host after a minute of exposure to the electrical field. These findings are in a preliminary study that has not yet gone through the peer-review process.","Researchers have found a ""fabric that kills coronaviruses"" through low-level electric fields, which can render the virus unable to infect a host after just a minute of exposure.",false,0.9794057011604308
